AHR_HUMAN.H11MO.0.B	AHR
RXRG_HUMAN.H11MO.0.B	RXRG
SALL4_HUMAN.H11MO.0.B	SALL4
M08397_2.00	SCRT1
MA0743.2	SCRT1
MA0744.2	SCRT2
M08130_2.00	SIX1
MA1118.1	SIX1
SIX1_HUMAN.H11MO.0.A	SIX1
M08133_2.00	SIX2
MA1119.1	SIX2
SIX2_HUMAN.H11MO.0.A	SIX2
M08208_2.00	SIX5
M08209_2.00	SIX5
SMAD2_HUMAN.H11MO.0.A	SMAD2
SMAD3_HUMAN.H11MO.0.B	SMAD3
SMAD4_HUMAN.H11MO.0.B	SMAD4
SMCA1_HUMAN.H11MO.0.C	SMCA1
SMCA5_HUMAN.H11MO.0.C	SMCA5
M08303_2.00	SNAI1
SNAI1_HUMAN.H11MO.0.C	SNAI1
MA0745.2	SNAI2
SNAI2_HUMAN.H11MO.0.A	SNAI2
M08165_2.00	SOX10
MA0442.2	SOX10
SOX10_HUMAN.H11MO.0.B	SOX10
M08166_2.00	SOX13
MA1120.1	SOX13
SOX17_HUMAN.H11MO.0.C	SOX17
MA0143.4	SOX2
SOX2_HUMAN.H11MO.0.A	SOX2
SOX3_HUMAN.H11MO.0.B	SOX3
SOX4_HUMAN.H11MO.0.B	SOX4
SOX5_HUMAN.H11MO.0.C	SOX5
SOX9_HUMAN.H11MO.0.B	SOX9
M08096_2.00	SP1
M08363_2.00	SP1
MA0079.5	SP1
SP1_HUMAN.H11MO.0.A	SP1
M07932_2.00	SP2
M08092_2.00	SP2
M08326_2.00	SP2
MA0516.3	SP2
SP2_HUMAN.H11MO.0.A	SP2
SP3_HUMAN.H11MO.0.B	SP3
M08296_2.00	SP4
MA0685.2	SP4
SP4_HUMAN.H11MO.0.A	SP4
M07944_2.00	SPI1
M07945_2.00	SPI1
M07946_2.00	SPI1
M08026_2.00	SPI1
SPI1_HUMAN.H11MO.0.A	SPI1
MA0081.2	SPIB
SPIB_HUMAN.H11MO.0.A	SPIB
SRBP1_HUMAN.H11MO.0.A	SRBP1
SRBP2_HUMAN.H11MO.0.B	SRBP2
M08048_2.00	SREBF1
MA0595.1	SREBF1
MA0829.2	SREBF1
M08059_2.00	SREBF2
MA0596.1	SREBF2
M07981_2.00	SRF
M07982_2.00	SRF
M07983_2.00	SRF
M07984_2.00	SRF
SRF_HUMAN.H11MO.0.A	SRF
SRY_HUMAN.H11MO.0.B	SRY
STA5A_HUMAN.H11MO.0.A	STA5A
STA5B_HUMAN.H11MO.0.A	STA5B
M08013_2.00	STAT1
M08014_2.00	STAT1
M08171_2.00	STAT1
M08229_2.00	STAT1
M08230_2.00	STAT1
MA0137.3	STAT1
STAT1_HUMAN.H11MO.0.A	STAT1
MA0517.1	STAT1::STAT2
M08019_2.00	STAT2
STAT2_HUMAN.H11MO.0.A	STAT2
M08015_2.00	STAT3
M08016_2.00	STAT3
M08017_2.00	STAT3
M08018_2.00	STAT3
M08172_2.00	STAT3
MA0144.2	STAT3
STAT3_HUMAN.H11MO.0.A	STAT3
STAT4_HUMAN.H11MO.0.A	STAT4
STAT6_HUMAN.H11MO.0.B	STAT6
STF1_HUMAN.H11MO.0.B	STF1
SUH_HUMAN.H11MO.0.A	SUH
