MZF1_M08286_2.00	MZF1
MZF1_MA0056.2	MZF1
MZF1_MZF1_HUMAN.H11MO.0.B	MZF1
NANOG_NANOG_HUMAN.H11MO.0.A	NANOG
NDF1_NDF1_HUMAN.H11MO.0.A	NDF1
NDF2_NDF2_HUMAN.H11MO.0.B	NDF2
NEUROD1_M08057_2.00	NEUROD1
NEUROD1_MA1109.1	NEUROD1
NEUROG2_MA1642.1	NEUROG2
NF2L1_NF2L1_HUMAN.H11MO.0.C	NF2L1
NF2L2_NF2L2_HUMAN.H11MO.0.A	NF2L2
NFAC1_NFAC1_HUMAN.H11MO.0.B	NFAC1
NFAC2_NFAC2_HUMAN.H11MO.0.B	NFAC2
NFAC3_NFAC3_HUMAN.H11MO.0.B	NFAC3
NFAC4_NFAC4_HUMAN.H11MO.0.C	NFAC4
NFE2_M07813_2.00	NFE2
NFE2_NFE2_HUMAN.H11MO.0.A	NFE2
NFIA_NFIA_HUMAN.H11MO.0.C	NFIA
NFIB_MA1643.1	NFIB
NFIC_M08164_2.00	NFIC
NFIC_MA0161.2	NFIC
NFIC_NFIC_HUMAN.H11MO.0.A	NFIC
NFIL3_MA0025.2	NFIL3
NFKB1_NFKB1_HUMAN.H11MO.1.B	NFKB1
NFKB2_NFKB2_HUMAN.H11MO.0.B	NFKB2
NFYA_M08104_2.00	NFYA
NFYA_MA0060.3	NFYA
NFYA_NFYA_HUMAN.H11MO.0.A	NFYA
NFYB_M08178_2.00	NFYB
NFYB_MA0502.2	NFYB
NFYB_NFYB_HUMAN.H11MO.0.A	NFYB
NFYC_MA1644.1	NFYC
NFYC_NFYC_HUMAN.H11MO.0.A	NFYC
NKX2-2_MA1645.1	NKX2-2
NKX2-5_MA0063.2	NKX2-5
NKX21_NKX21_HUMAN.H11MO.0.A	NKX21
NKX25_NKX25_HUMAN.H11MO.0.B	NKX25
NKX28_NKX28_HUMAN.H11MO.0.C	NKX28
NKX31_NKX31_HUMAN.H11MO.0.C	NKX31
NKX32_NKX32_HUMAN.H11MO.0.C	NKX32
NKX61_NKX61_HUMAN.H11MO.0.B	NKX61
NOBOX_NOBOX_HUMAN.H11MO.0.C	NOBOX
NR1D1_NR1D1_HUMAN.H11MO.0.B	NR1D1
NR1H3_NR1H3_HUMAN.H11MO.0.B	NR1H3
NR1H4_M08152_2.00	NR1H4
NR1H4_NR1H4_HUMAN.H11MO.0.B	NR1H4
NR1I2_NR1I2_HUMAN.H11MO.0.C	NR1I2
NR1I3_NR1I3_HUMAN.H11MO.0.C	NR1I3
NR2C1_NR2C1_HUMAN.H11MO.0.C	NR2C1
NR2C2_M07990_2.00	NR2C2
NR2C2_M07991_2.00	NR2C2
NR2C2_M07992_2.00	NR2C2
NR2C2_M08156_2.00	NR2C2
NR2C2_M08221_2.00	NR2C2
NR2C2_M08222_2.00	NR2C2
NR2C2_MA0504.1	NR2C2
NR2C2_NR2C2_HUMAN.H11MO.0.B	NR2C2
NR2E3_NR2E3_HUMAN.H11MO.0.C	NR2E3
NR2F2_M08157_2.00	NR2F2
NR2F2_M08223_2.00	NR2F2
NR2F2_M08224_2.00	NR2F2
NR2F2_MA1111.1	NR2F2
NR3C1_M07986_2.00	NR3C1
NR3C1_M07987_2.00	NR3C1
NR4A1_M08153_2.00	NR4A1
NR4A1_MA1112.2	NR4A1
NR4A1_NR4A1_HUMAN.H11MO.0.A	NR4A1
NR4A2_NR4A2_HUMAN.H11MO.0.C	NR4A2
NR5A2_NR5A2_HUMAN.H11MO.0.B	NR5A2
NR6A1_NR6A1_HUMAN.H11MO.0.B	NR6A1
NRF1_M08177_2.00	NRF1
NRF1_NRF1_HUMAN.H11MO.0.A	NRF1
OLIG2_OLIG2_HUMAN.H11MO.0.B	OLIG2
ONECUT1_MA0679.2	ONECUT1
OSR2_M08324_2.00	OSR2
OSR2_MA1646.1	OSR2
OSR2_OSR2_HUMAN.H11MO.0.C	OSR2
OTX2_MA0712.2	OTX2
OTX2_OTX2_HUMAN.H11MO.0.A	OTX2
OVOL1_OVOL1_HUMAN.H11MO.0.C	OVOL1
OZF_OZF_HUMAN.H11MO.0.C	OZF
P53_P53_HUMAN.H11MO.0.A	P53
P63_P63_HUMAN.H11MO.0.A	P63
P73_P73_HUMAN.H11MO.0.A	P73
PATZ1_M08287_2.00	PATZ1
PATZ1_MA1961.1	PATZ1
PATZ1_PATZ1_HUMAN.H11MO.0.C	PATZ1
PAX5_M07995_2.00	PAX5
PAX5_M07996_2.00	PAX5
PAX5_M07997_2.00	PAX5
PAX5_M07998_2.00	PAX5
PAX5_M08160_2.00	PAX5
PAX5_M08227_2.00	PAX5
PAX5_M08228_2.00	PAX5
PAX5_MA0014.3	PAX5
PAX5_PAX5_HUMAN.H11MO.0.A	PAX5
PAX6_PAX6_HUMAN.H11MO.0.C	PAX6
PBX1_PBX1_HUMAN.H11MO.0.A	PBX1
PBX2_M08134_2.00	PBX2
PBX2_MA1113.2	PBX2
PBX2_PBX2_HUMAN.H11MO.0.C	PBX2
PBX3_M07971_2.00	PBX3
PBX3_M08132_2.00	PBX3
PBX3_MA1114.1	PBX3
PBX3_PBX3_HUMAN.H11MO.0.A	PBX3
PDX1_PDX1_HUMAN.H11MO.0.A	PDX1
