motif_id	tf_name	tf_class	tf_family	tf_subfamily
CTCF_M07924_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07925_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M08087_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M08238_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M08289_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_MA0139.1	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_MA1929.1	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_MA1930.1	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCFL_CTCFL_HUMAN.H11MO.0.A	CTCFL	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCFL_M07930_2.00	CTCFL	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCFL_M08089_2.00	CTCFL	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCFL_MA1102.2	CTCFL	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CUX1_CUX1_HUMAN.H11MO.0.C	CUX1	homeo domain factors	HD-CUT factors	CUX
DBP_DBP_HUMAN.H11MO.0.B	DBP	basic leucine zipper (bZIP) factors	C/EBP-related	PAR factors
DLX3_DLX3_HUMAN.H11MO.0.C	DLX3	homeo domain factors	NK-related factors	DLX
DUX4_DUX4_HUMAN.H11MO.0.A	DUX4	homeo domain factors	paired-related HD factors	DUX
DUX4_M08135_2.00	DUX4	homeo domain factors	paired-related HD factors	DUX
DUX4_MA0468.1	DUX4	homeo domain factors	paired-related HD factors	DUX
E2F1_E2F1_HUMAN.H11MO.0.A	E2F1	forkhead/winged helix factors	E2F-related factors	E2F
E2F1_M07938_2.00	E2F1	forkhead/winged helix factors	E2F-related factors	E2F
E2F2_E2F2_HUMAN.H11MO.0.B	E2F2	forkhead/winged helix factors	E2F-related factors	E2F
E2F3_E2F3_HUMAN.H11MO.0.A	E2F3	forkhead/winged helix factors	E2F-related factors	E2F
E2F4_E2F4_HUMAN.H11MO.0.A	E2F4	forkhead/winged helix factors	E2F-related factors	E2F
E2F4_M07942_2.00	E2F4	forkhead/winged helix factors	E2F-related factors	E2F
E2F4_M07943_2.00	E2F4	forkhead/winged helix factors	E2F-related factors	E2F
E2F4_M08109_2.00	E2F4	forkhead/winged helix factors	E2F-related factors	E2F
E2F5_E2F5_HUMAN.H11MO.0.B	E2F5	forkhead/winged helix factors	E2F-related factors	E2F
E2F6_E2F6_HUMAN.H11MO.0.A	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
E2F6_M07939_2.00	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
E2F6_M07940_2.00	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
E2F6_M07941_2.00	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
E2F6_M08107_2.00	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
E2F6_MA0471.2	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
E2F7_E2F7_HUMAN.H11MO.0.B	E2F7	forkhead/winged helix factors	E2F-related factors	E2F
EBF1_MA0154.4	EBF1	Rel homology region (RHR) factors	early B-cell factor-related factors	N/A
EBF3_MA1637.1	EBF3	Rel homology region (RHR) factors	early B-cell factor-related factors	N/A
EGR1_EGR1_HUMAN.H11MO.0.A	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EGR1_M07927_2.00	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EGR1_M07928_2.00	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EGR1_M07929_2.00	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EGR1_MA0162.4	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EGR2_EGR2_HUMAN.H11MO.0.A	EGR2	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EGR2_M08302_2.00	EGR2	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EGR3_M08349_2.00	EGR3	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EHF_EHF_HUMAN.H11MO.0.B	EHF	tryptophan cluster factors	Ets-related factors	EHF-like factors
EHF_MA0598.3	EHF	tryptophan cluster factors	Ets-related factors	EHF-like factors
ELF1_ELF1_HUMAN.H11MO.0.A	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF1_M07947_2.00	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF1_M07948_2.00	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF1_M07949_2.00	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF1_M08198_2.00	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF1_MA0473.3	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF2_ELF2_HUMAN.H11MO.0.C	ELF2	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF3_ELF3_HUMAN.H11MO.0.A	ELF3	tryptophan cluster factors	Ets-related factors	EHF-like factors
ELF3_MA0640.2	ELF3	tryptophan cluster factors	Ets-related factors	EHF-like factors
ELF5_ELF5_HUMAN.H11MO.0.A	ELF5	tryptophan cluster factors	Ets-related factors	EHF-like factors
ELK1_ELK1_HUMAN.H11MO.0.B	ELK1	tryptophan cluster factors	Ets-related factors	Elk-like factors
ELK4_ELK4_HUMAN.H11MO.0.A	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
ELK4_M07957_2.00	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
